id_quest,question,answer1,answer2,answer3,answer4,answer5
4,Цвет автомобиля?,Белый,Черный,Серебрянный,Желтый,Красный
6,Страна произовдитель?,Германия,Япония,Корея,США,
66,Страны производители?,Германия,Япония,Корея,США,Россия
7,Автомобиль на каждый день?,Да,Нет,Не знаю,,
8,Количество членов семьи?,1-2,3-4,5 и более,,
9,Высокий уровень безопасности?,Да,Нет,Не знаю,,
10,Планируете поездки на дальние расстояния?,Да,Нет,Не знаю,,
11,Планируете поездки на дачу?,Да,Нет,Не знаю,,
12,Производство автомобиля?,Отечественные,Инномарки,Не знаю,,
13,Марки Германии?,BMW,Audi,Mercedes,Volkswagen,
14,Марки Японии?,Toyota,Nissan,Mitsubishi,Mazda,
15,Марки Кореи?,Hyundai,KIA,SsangYong,,
16,Марки США?,Ford,Chevrolet,Tesla,Cadillac,